;  >>> GROUND LAYOUT <<<
;====================================================================================================
;GND FILES
;
; >>> EKCH - København Kastrup <<<
;
; RWY outer markings
N055.35.35.467 E012.36.05.772 N055.35.32.377 E012.36.11.808 COLOR_TaxiwayBorder ; A (outer)
N055.37.38.830 E012.37.46.400 N055.37.40.038 E012.37.47.828 COLOR_TaxiwayBorder ; 12 END
;
;
N055.36.13.068 E012.37.18.031 N055.36.13.109 E012.37.18.292 COLOR_TaxiwayBorder ; E4 + B1 (outer)
N055.36.13.109 E012.37.18.292 N055.36.13.068 E012.37.18.416 COLOR_TaxiwayBorder ; E4 + B1 (outer)
N055.36.13.068 E012.37.18.416 N055.36.12.944 E012.37.18.426 COLOR_TaxiwayBorder ; E4 + B1 (outer)
N055.36.12.944 E012.37.18.426 N055.36.12.779 E012.37.18.392 COLOR_TaxiwayBorder ; E4 + B1 (outer)
N055.36.12.779 E012.37.18.392 N055.36.11.667 E012.37.18.241 COLOR_TaxiwayBorder ; E4 + B1 (outer)
N055.36.11.667 E012.37.18.241 N055.36.10.390 E012.37.18.282 COLOR_TaxiwayBorder ; E4 + B1 (outer)
N055.36.10.390 E012.37.18.282 N055.36.09.140 E012.37.18.450 COLOR_TaxiwayBorder ; E4 + B1 (outer)
N055.36.09.140 E012.37.18.450 N055.36.08.783 E012.37.18.670 COLOR_TaxiwayBorder ; E4 + B1 (outer)
N055.36.08.783 E012.37.18.670 N055.36.08.481 E012.37.18.903 COLOR_TaxiwayBorder ; E4 + B1 (outer)
N055.36.08.481 E012.37.18.903 N055.36.08.041 E012.37.19.490 COLOR_TaxiwayBorder ; E4 + B1 (outer)
N055.36.08.041 E012.37.19.490 N055.36.07.684 E012.37.20.301 COLOR_TaxiwayBorder ; E4 + B1 (outer)
N055.36.07.684 E012.37.20.301 N055.36.07.396 E012.37.21.495 COLOR_TaxiwayBorder ; E4 + B1 (outer)
N055.36.07.396 E012.37.21.495 N055.36.07.369 E012.37.23.023 COLOR_TaxiwayBorder ; E4 + B1 (outer)
N055.36.07.369 E012.37.23.023 N055.36.07.575 E012.37.24.129 COLOR_TaxiwayBorder ; E4 + B1 (outer)
N055.36.07.575 E012.37.24.129 N055.36.07.945 E012.37.25.166 COLOR_TaxiwayBorder ; E4 + B1 (outer)
N055.36.07.945 E012.37.25.166 N055.36.08.632 E012.37.26.316 COLOR_TaxiwayBorder ; E4 + B1 (outer)
N055.36.08.632 E012.37.26.316 N055.36.21.843 E012.37.46.723 COLOR_TaxiwayBorder ; E4 + B1 (outer)
N055.36.21.843 E012.37.46.723 N055.36.22.241 E012.37.47.248 COLOR_TaxiwayBorder ; E4 + B1 (outer)
N055.36.22.241 E012.37.47.248 N055.36.22.763 E012.37.47.633 COLOR_TaxiwayBorder ; E4 + B1 (outer)
N055.36.22.763 E012.37.47.633 N055.36.23.944 E012.37.48.481 COLOR_TaxiwayBorder ; E4 + B1 (outer)
N055.36.23.944 E012.37.48.481 N055.36.24.411 E012.37.48.920 COLOR_TaxiwayBorder ; E4 + B1 (outer)
N055.36.24.411 E012.37.48.920 N055.36.24.796 E012.37.49.521 COLOR_TaxiwayBorder ; E4 + B1 (outer)
N055.36.24.796 E012.37.49.521 N055.36.25.263 E012.37.50.211 COLOR_TaxiwayBorder ; E4 + B1 (outer)
N055.36.25.263 E012.37.50.211 N055.36.25.537 E012.37.50.970 COLOR_TaxiwayBorder ; E4 + B1 (outer)
N055.36.25.537 E012.37.50.970 N055.36.26.251 E012.37.53.648 COLOR_TaxiwayBorder ; E4 + B1 (outer)
N055.36.26.251 E012.37.53.648 N055.36.28.311 E012.38.04.243 COLOR_TaxiwayBorder ; E4 + B1 (outer)
N055.36.28.311 E012.38.04.243 N055.36.28.641 E012.38.05.993 COLOR_TaxiwayBorder ; E4 + B1 (outer)
N055.36.28.641 E012.38.05.993 N055.36.28.902 E012.38.07.030 COLOR_TaxiwayBorder ; E4 + B1 (outer)
N055.36.28.902 E012.38.07.030 N055.36.28.874 E012.38.07.164 COLOR_TaxiwayBorder ; E4 + B1 (outer)
N055.36.28.874 E012.38.07.164 N055.36.28.778 E012.38.07.240 COLOR_TaxiwayBorder ; E4 + B1 (outer)
N055.36.28.778 E012.38.07.240 N055.36.28.710 E012.38.07.243 COLOR_TaxiwayBorder ; E4 + B1 (outer)
N055.36.28.710 E012.38.07.243 N055.36.28.600 E012.38.07.181 COLOR_TaxiwayBorder ; E4 + B1 (outer)
N055.36.28.600 E012.38.07.181 N055.36.26.869 E012.38.05.142 COLOR_TaxiwayBorder ; E4 + B1 (outer)
N055.36.26.869 E012.38.05.142 N055.36.25.180 E012.38.03.267 COLOR_TaxiwayBorder ; E4 + B1 (outer)
N055.36.25.180 E012.38.03.267 N055.36.24.590 E012.38.02.502 COLOR_TaxiwayBorder ; E4 + B1 (outer)
N055.36.24.590 E012.38.02.502 N055.36.23.175 E012.38.00.720 COLOR_TaxiwayBorder ; E4 + B1 (outer)
N055.36.23.175 E012.38.00.720 N055.36.17.737 E012.37.52.309 COLOR_TaxiwayBorder ; E4 + B1 (outer)
N055.36.17.737 E012.37.52.309 N055.36.17.256 E012.37.51.694 COLOR_TaxiwayBorder ; E4 + B1 (outer)
N055.36.17.256 E012.37.51.694 N055.36.16.748 E012.37.51.310 COLOR_TaxiwayBorder ; E4 + B1 (outer)
N055.36.16.748 E012.37.51.310 N055.36.16.144 E012.37.51.134 COLOR_TaxiwayBorder ; E4 + B1 (outer)
N055.36.16.144 E012.37.51.134 N055.36.15.526 E012.37.51.258 COLOR_TaxiwayBorder ; E4 + B1 (outer)
N055.36.15.526 E012.37.51.258 N055.36.14.990 E012.37.51.629 COLOR_TaxiwayBorder ; E4 + B1 (outer)
N055.36.14.990 E012.37.51.629 N055.36.14.496 E012.37.52.281 COLOR_TaxiwayBorder ; E4 + B1 (outer)
N055.36.14.496 E012.37.52.281 N055.36.13.068 E012.37.55.103 COLOR_TaxiwayBorder ; E4 + B1 (outer)
N055.36.13.068 E012.37.55.103 N055.36.11.640 E012.37.58.008 COLOR_TaxiwayBorder ; E4 + B1 (outer)
;
;
N055.36.42.099 E012.38.48.490 N055.36.26.100 E012.38.53.602 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.26.100 E012.38.53.602 N055.36.25.922 E012.38.51.971 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.25.922 E012.38.51.971 N055.36.25.620 E012.38.52.160 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.25.620 E012.38.52.160 N055.36.25.194 E012.38.52.857 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.25.194 E012.38.52.857 N055.36.24.686 E012.38.54.144 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.24.686 E012.38.54.144 N055.36.24.658 E012.38.55.518 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.24.658 E012.38.55.518 N055.36.24.768 E012.38.56.816 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.24.768 E012.38.56.816 N055.36.25.084 E012.38.57.749 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.25.084 E012.38.57.749 N055.36.25.510 E012.38.58.343 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.25.510 E012.38.58.343 N055.36.25.935 E012.38.58.594 COLOR_TaxiwayBorder  ; C > N1 (outer)
