;  >>> GROUND LAYOUT <<<
;====================================================================================================
;GND FILES
;
; >>> EKCH - København Kastrup <<<
;
; RWY outer markings
N055.37.22.378 E012.38.44.391 N055.37.22.735 E012.38.45.778 COLOR_HardSurface1 ; K1 + F + D>Y
N055.37.22.735 E012.38.45.778 N055.37.23.380 E012.38.48.349 COLOR_HardSurface1 ; K1 + F + D>Y
N055.37.23.380 E012.38.48.349 N055.37.23.875 E012.38.50.340 COLOR_HardSurface1 ; K1 + F + D>Y
N055.37.23.875 E012.38.50.340 N055.37.24.053 E012.38.51.031 COLOR_HardSurface1 ; K1 + F + D>Y
N055.37.24.053 E012.38.51.031 N055.37.24.630 E012.38.53.293 COLOR_HardSurface1 ; K1 + F + D>Y
N055.37.24.630 E012.38.53.293 N055.37.24.699 E012.38.53.671 COLOR_HardSurface1 ; K1 + F + D>Y
N055.37.24.699 E012.38.53.671 N055.37.24.740 E012.38.54.066 COLOR_HardSurface1 ; K1 + F + D>Y
N055.37.24.740 E012.38.54.066 N055.37.24.740 E012.38.54.464 COLOR_HardSurface1 ; K1 + F + D>Y
N055.37.24.740 E012.38.54.464 N055.37.24.699 E012.38.54.859 COLOR_HardSurface1 ; K1 + F + D>Y
N055.37.24.699 E012.38.54.859 N055.37.24.630 E012.38.55.216 COLOR_HardSurface1 ; K1 + F + D>Y
N055.37.24.630 E012.38.55.216 N055.37.24.506 E012.38.55.580 COLOR_HardSurface1 ; K1 + F + D>Y
N055.37.24.506 E012.38.55.580 N055.37.24.396 E012.38.55.847 COLOR_HardSurface1 ; K1 + F + D>Y
N055.37.24.396 E012.38.55.847 N055.37.24.300 E012.38.56.046 COLOR_HardSurface1 ; K1 + F + D>Y
N055.37.24.300 E012.38.56.046 N055.37.24.149 E012.38.56.246 COLOR_HardSurface1 ; K1 + F + D>Y
N055.37.24.149 E012.38.56.246 N055.37.23.943 E012.38.56.410 COLOR_HardSurface1 ; K1 + F + D>Y
N055.37.23.943 E012.38.56.410 N055.37.23.737 E012.38.56.486 COLOR_HardSurface1 ; K1 + F + D>Y
N055.37.23.737 E012.38.56.486 N055.37.23.518 E012.38.56.472 COLOR_HardSurface1 ; K1 + F + D>Y
N055.37.23.518 E012.38.56.472 N055.37.23.312 E012.38.56.383 COLOR_HardSurface1 ; K1 + F + D>Y
N055.37.23.312 E012.38.56.383 N055.37.23.119 E012.38.56.215 COLOR_HardSurface1 ; K1 + F + D>Y
N055.37.23.119 E012.38.56.215 N055.37.23.284 E012.38.56.448 COLOR_HardSurface1 ; K1 + F + D>Y
N055.37.23.284 E012.38.56.448 N055.37.23.421 E012.38.56.761 COLOR_HardSurface1 ; K1 + F + D>Y
N055.37.23.421 E012.38.56.761 N055.37.23.504 E012.38.57.111 COLOR_HardSurface1 ; K1 + F + D>Y
N055.37.23.504 E012.38.57.111 N055.37.23.559 E012.38.57.488 COLOR_HardSurface1 ; K1 + F + D>Y
N055.37.23.559 E012.38.57.488 N055.37.23.545 E012.38.57.873 COLOR_HardSurface1 ; K1 + F + D>Y
N055.37.23.545 E012.38.57.873 N055.37.23.490 E012.38.58.237 COLOR_HardSurface1 ; K1 + F + D>Y
N055.37.23.490 E012.38.58.237 N055.37.23.421 E012.38.58.512 COLOR_HardSurface1 ; K1 + F + D>Y
;
;
N055.37.37.347 E012.37.52.508 N055.37.38.541 E012.37.49.287 COLOR_HardSurface1 ; K1 -> F
N055.37.38.541 E012.37.49.287 N055.37.38.665 E012.37.48.810 COLOR_HardSurface1 ; K1 -> F
N055.37.38.665 E012.37.48.810 N055.37.38.706 E012.37.48.336 COLOR_HardSurface1 ; K1 -> F
N055.37.38.706 E012.37.48.336 N055.37.38.679 E012.37.47.804 COLOR_HardSurface1 ; K1 -> F
N055.37.38.679 E012.37.47.804 N055.37.38.569 E012.37.47.241 COLOR_HardSurface1 ; K1 -> F
N055.37.38.569 E012.37.47.241 N055.37.38.432 E012.37.46.905 COLOR_HardSurface1 ; K1 -> F
N055.37.38.432 E012.37.46.905 N055.37.38.267 E012.37.46.630 COLOR_HardSurface1 ; K1 -> F
N055.37.38.267 E012.37.46.630 N055.37.38.143 E012.37.46.493 COLOR_HardSurface1 ; K1 -> F
;
;
N055.37.36.948 E012.38.02.893 N055.37.36.715 E012.38.03.518 COLOR_HardSurface1 ; K2
N055.37.36.715 E012.38.03.518 N055.37.36.578 E012.38.03.865 COLOR_HardSurface1 ; K2
N055.37.36.578 E012.38.03.865 N055.37.36.440 E012.38.04.167 COLOR_HardSurface1 ; K2
N055.37.36.440 E012.38.04.167 N055.37.36.275 E012.38.04.459 COLOR_HardSurface1 ; K2
N055.37.36.275 E012.38.04.459 N055.37.36.097 E012.38.04.751 COLOR_HardSurface1 ; K2
N055.37.36.097 E012.38.04.751 N055.37.35.918 E012.38.04.991 COLOR_HardSurface1 ; K2
N055.37.35.918 E012.38.04.991 N055.37.35.726 E012.38.05.235 COLOR_HardSurface1 ; K2
N055.37.35.726 E012.38.05.235 N055.37.35.383 E012.38.05.564 COLOR_HardSurface1 ; K2
N055.37.35.383 E012.38.05.564 N055.37.35.094 E012.38.05.774 COLOR_HardSurface1 ; K2
N055.37.35.094 E012.38.05.774 N055.37.34.765 E012.38.05.945 COLOR_HardSurface1 ; K2
N055.37.34.765 E012.38.05.945 N055.37.33.268 E012.38.06.495 COLOR_HardSurface1 ; K2
N055.37.33.268 E012.38.06.495 N055.37.32.938 E012.38.06.690 COLOR_HardSurface1 ; K2
N055.37.32.938 E012.38.06.690 N055.37.32.650 E012.38.06.931 COLOR_HardSurface1 ; K2
N055.37.32.650 E012.38.06.931 N055.37.32.334 E012.38.07.267 COLOR_HardSurface1 ; K2
N055.37.32.334 E012.38.07.267 N055.37.32.046 E012.38.07.648 COLOR_HardSurface1 ; K2
N055.37.32.046 E012.38.07.648 N055.37.31.785 E012.38.08.064 COLOR_HardSurface1 ; K2
N055.37.31.785 E012.38.08.064 N055.37.31.551 E012.38.08.527 COLOR_HardSurface1 ; K2
N055.37.31.551 E012.38.08.527 N055.37.31.235 E012.38.09.375 COLOR_HardSurface1 ; K2
N055.37.31.235 E012.38.09.375 N055.37.30.274 E012.38.11.957 COLOR_HardSurface1 ; K2
;
;
N055.37.34.325 E012.38.06.107 N055.37.34.531 E012.38.06.079 COLOR_HardSurface1 ; K2 -> L
N055.37.34.531 E012.38.06.079 N055.37.34.765 E012.38.06.093 COLOR_HardSurface1 ; K2 -> L
N055.37.34.765 E012.38.06.093 N055.37.34.985 E012.38.06.155 COLOR_HardSurface1 ; K2 -> L
N055.37.34.985 E012.38.06.155 N055.37.35.245 E012.38.06.326 COLOR_HardSurface1 ; K2 -> L
N055.37.35.245 E012.38.06.326 N055.37.35.424 E012.38.06.505 COLOR_HardSurface1 ; K2 -> L
N055.37.35.424 E012.38.06.505 N055.37.35.589 E012.38.06.690 COLOR_HardSurface1 ; K2 -> L
N055.37.35.589 E012.38.06.690 N055.37.35.740 E012.38.06.934 COLOR_HardSurface1 ; K2 -> L
N055.37.35.740 E012.38.06.934 N055.37.35.877 E012.38.07.229 COLOR_HardSurface1 ; K2 -> L
N055.37.35.877 E012.38.07.229 N055.37.36.015 E012.38.07.586 COLOR_HardSurface1 ; K2 -> L
N055.37.36.015 E012.38.07.586 N055.37.36.097 E012.38.07.950 COLOR_HardSurface1 ; K2 -> L
N055.37.36.097 E012.38.07.950 N055.37.36.166 E012.38.08.349 COLOR_HardSurface1 ; K2 -> L
N055.37.36.166 E012.38.08.349 N055.37.36.193 E012.38.08.757 COLOR_HardSurface1 ; K2 -> L
N055.37.36.193 E012.38.08.757 N055.37.36.193 E012.38.09.183 COLOR_HardSurface1 ; K2 -> L
;
;
N055.37.42.895 E012.38.30.754 N055.37.42.277 E012.38.28.213 COLOR_HardSurface1 ; K3 + L
N055.37.42.277 E012.38.28.213 N055.37.41.659 E012.38.25.662 COLOR_HardSurface1 ; K3 + L
N055.37.41.659 E012.38.25.662 N055.37.41.466 E012.38.24.907 COLOR_HardSurface1 ; K3 + L
N055.37.41.466 E012.38.24.907 N055.37.41.343 E012.38.24.567 COLOR_HardSurface1 ; K3 + L
N055.37.41.343 E012.38.24.567 N055.37.41.206 E012.38.24.248 COLOR_HardSurface1 ; K3 + L
N055.37.41.206 E012.38.24.248 N055.37.40.890 E012.38.23.678 COLOR_HardSurface1 ; K3 + L
N055.37.40.890 E012.38.23.678 N055.37.40.505 E012.38.23.201 COLOR_HardSurface1 ; K3 + L
N055.37.40.505 E012.38.23.201 N055.37.39.544 E012.38.22.109 COLOR_HardSurface1 ; K3 + L
N055.37.39.544 E012.38.22.109 N055.37.38.569 E012.38.20.966 COLOR_HardSurface1 ; K3 + L
N055.37.38.569 E012.38.20.966 N055.37.36.742 E012.38.18.851 COLOR_HardSurface1 ; K3 + L
N055.37.36.742 E012.38.18.851 N055.37.35.232 E012.38.17.117 COLOR_HardSurface1 ; K3 + L
N055.37.35.232 E012.38.17.117 N055.37.35.026 E012.38.16.897 COLOR_HardSurface1 ; K3 + L
N055.37.35.026 E012.38.16.897 N055.37.34.792 E012.38.16.691 COLOR_HardSurface1 ; K3 + L
N055.37.34.792 E012.38.16.691 N055.37.34.586 E012.38.16.523 COLOR_HardSurface1 ; K3 + L
N055.37.34.586 E012.38.16.523 N055.37.34.367 E012.38.16.355 COLOR_HardSurface1 ; K3 + L
N055.37.34.367 E012.38.16.355 N055.37.34.119 E012.38.16.204 COLOR_HardSurface1 ; K3 + L
N055.37.34.119 E012.38.16.204 N055.37.33.666 E012.38.15.957 COLOR_HardSurface1 ; K3 + L
N055.37.33.666 E012.38.15.957 N055.37.33.199 E012.38.15.775 COLOR_HardSurface1 ; K3 + L
N055.37.33.199 E012.38.15.775 N055.37.32.842 E012.38.15.675 COLOR_HardSurface1 ; K3 + L
N055.37.32.842 E012.38.15.675 N055.37.32.430 E012.38.15.620 COLOR_HardSurface1 ; K3 + L
N055.37.32.430 E012.38.15.620 N055.37.32.087 E012.38.15.606 COLOR_HardSurface1 ; K3 + L
N055.37.32.087 E012.38.15.606 N055.37.31.524 E012.38.15.665 COLOR_HardSurface1 ; K3 + L
N055.37.31.524 E012.38.15.665 N055.37.30.988 E012.38.15.809 COLOR_HardSurface1 ; K3 + L
N055.37.30.988 E012.38.15.809 N055.37.30.549 E012.38.16.005 COLOR_HardSurface1 ; K3 + L
N055.37.30.549 E012.38.16.005 N055.37.30.137 E012.38.16.242 COLOR_HardSurface1 ; K3 + L
N055.37.30.137 E012.38.16.242 N055.37.29.739 E012.38.16.527 COLOR_HardSurface1 ; K3 + L
N055.37.29.739 E012.38.16.527 N055.37.29.217 E012.38.16.983 COLOR_HardSurface1 ; K3 + L
N055.37.29.217 E012.38.16.983 N055.37.28.805 E012.38.17.402 COLOR_HardSurface1 ; K3 + L
N055.37.28.805 E012.38.17.402 N055.37.28.379 E012.38.17.886 COLOR_HardSurface1 ; K3 + L
N055.37.28.379 E012.38.17.886 N055.37.28.063 E012.38.18.343 COLOR_HardSurface1 ; K3 + L
N055.37.28.063 E012.38.18.343 N055.37.27.830 E012.38.18.796 COLOR_HardSurface1 ; K3 + L
N055.37.27.830 E012.38.18.796 N055.37.27.486 E012.38.19.572 COLOR_HardSurface1 ; K3 + L
N055.37.27.486 E012.38.19.572 N055.37.27.253 E012.38.20.142 COLOR_HardSurface1 ; K3 + L
N055.37.27.253 E012.38.20.142 N055.37.27.116 E012.38.20.489 COLOR_HardSurface1 ; K3 + L
;
;
N055.37.24.822 E012.37.48.982 N055.37.24.602 E012.37.48.989 COLOR_HardSurface1 ; W1
N055.37.24.602 E012.37.48.989 N055.37.24.342 E012.37.48.975 COLOR_HardSurface1 ; W1
N055.37.24.342 E012.37.48.975 N055.37.24.122 E012.37.48.927 COLOR_HardSurface1 ; W1
N055.37.24.122 E012.37.48.927 N055.37.23.902 E012.37.48.827 COLOR_HardSurface1 ; W1
N055.37.23.902 E012.37.48.827 N055.37.23.531 E012.37.48.618 COLOR_HardSurface1 ; W1
N055.37.23.531 E012.37.48.618 N055.37.18.972 E012.37.45.981 COLOR_HardSurface1 ; W1
N055.37.18.972 E012.37.45.981 N055.37.18.876 E012.37.46.503 COLOR_HardSurface1 ; W1
;
;
N055.37.22.831 E012.37.48.209 N055.37.22.968 E012.37.48.323 COLOR_HardSurface1 ; W1 (E)
N055.37.22.968 E012.37.48.323 N055.37.23.092 E012.37.48.484 COLOR_HardSurface1 ; W1 (E)
N055.37.23.092 E012.37.48.484 N055.37.23.174 E012.37.48.656 COLOR_HardSurface1 ; W1 (E)
N055.37.23.174 E012.37.48.656 N055.37.23.243 E012.37.48.858 COLOR_HardSurface1 ; W1 (E)
N055.37.23.243 E012.37.48.858 N055.37.23.270 E012.37.49.095 COLOR_HardSurface1 ; W1 (E)
N055.37.23.270 E012.37.49.095 N055.37.23.284 E012.37.49.308 COLOR_HardSurface1 ; W1 (E)
N055.37.23.284 E012.37.49.308 N055.37.23.257 E012.37.49.565 COLOR_HardSurface1 ; W1 (E)
N055.37.23.257 E012.37.49.565 N055.37.23.229 E012.37.49.799 COLOR_HardSurface1 ; W1 (E)
N055.37.23.229 E012.37.49.799 N055.37.23.161 E012.37.49.995 COLOR_HardSurface1 ; W1 (E)
N055.37.23.161 E012.37.49.995 N055.37.23.092 E012.37.50.156 COLOR_HardSurface1 ; W1 (E)
;
;
N055.37.22.309 E012.37.51.413 N055.37.22.419 E012.37.51.207 COLOR_HardSurface1 ; R
N055.37.22.419 E012.37.51.207 N055.37.22.543 E012.37.51.038 COLOR_HardSurface1 ; R
N055.37.22.543 E012.37.51.038 N055.37.22.680 E012.37.50.939 COLOR_HardSurface1 ; R
N055.37.22.680 E012.37.50.939 N055.37.22.817 E012.37.50.908 COLOR_HardSurface1 ; R
N055.37.22.817 E012.37.50.908 N055.37.22.968 E012.37.50.922 COLOR_HardSurface1 ; R
N055.37.22.968 E012.37.50.922 N055.37.23.106 E012.37.50.997 COLOR_HardSurface1 ; R
N055.37.23.106 E012.37.50.997 N055.37.25.275 E012.37.52.594 COLOR_HardSurface1 ; R
N055.37.25.275 E012.37.52.594 N055.37.25.413 E012.37.52.679 COLOR_HardSurface1 ; R
N055.37.25.413 E012.37.52.679 N055.37.25.536 E012.37.52.724 COLOR_HardSurface1 ; R
N055.37.25.536 E012.37.52.724 N055.37.25.646 E012.37.52.745 COLOR_HardSurface1 ; R
N055.37.25.646 E012.37.52.745 N055.37.25.770 E012.37.52.748 COLOR_HardSurface1 ; R
N055.37.25.770 E012.37.52.748 N055.37.25.907 E012.37.52.721 COLOR_HardSurface1 ; R
N055.37.25.907 E012.37.52.721 N055.37.31.895 E012.37.51.076 COLOR_HardSurface1 ; R
N055.37.31.895 E012.37.51.076 N055.37.32.073 E012.37.51.004 COLOR_HardSurface1 ; R
N055.37.32.073 E012.37.51.004 N055.37.32.224 E012.37.50.894 COLOR_HardSurface1 ; R
N055.37.32.224 E012.37.50.894 N055.37.32.320 E012.37.50.784 COLOR_HardSurface1 ; R
N055.37.32.320 E012.37.50.784 N055.37.32.430 E012.37.50.637 COLOR_HardSurface1 ; R
N055.37.32.430 E012.37.50.637 N055.37.32.581 E012.37.50.345 COLOR_HardSurface1 ; R
N055.37.32.581 E012.37.50.345 N055.37.33.858 E012.37.46.925 COLOR_HardSurface1 ; R
N055.37.33.858 E012.37.46.925 N055.37.33.913 E012.37.46.767 COLOR_HardSurface1 ; R
N055.37.33.913 E012.37.46.767 N055.37.33.982 E012.37.46.640 COLOR_HardSurface1 ; R
N055.37.33.982 E012.37.46.640 N055.37.34.064 E012.37.46.527 COLOR_HardSurface1 ; R
N055.37.34.064 E012.37.46.527 N055.37.34.188 E012.37.46.438 COLOR_HardSurface1 ; R
N055.37.34.188 E012.37.46.438 N055.37.34.312 E012.37.46.376 COLOR_HardSurface1 ; R
;
;
N055.37.29.354 E012.37.47.729 N055.37.29.505 E012.37.47.753 COLOR_HardSurface1 ; R1 - F
N055.37.29.505 E012.37.47.753 N055.37.29.615 E012.37.47.804 COLOR_HardSurface1 ; R1 - F
N055.37.29.615 E012.37.47.804 N055.37.29.739 E012.37.47.897 COLOR_HardSurface1 ; R1 - F
N055.37.29.739 E012.37.47.897 N055.37.29.848 E012.37.48.048 COLOR_HardSurface1 ; R1 - F
N055.37.29.848 E012.37.48.048 N055.37.29.945 E012.37.48.223 COLOR_HardSurface1 ; R1 - F
N055.37.29.945 E012.37.48.223 N055.37.30.000 E012.37.48.436 COLOR_HardSurface1 ; R1 - F
N055.37.30.000 E012.37.48.436 N055.37.30.041 E012.37.48.659 COLOR_HardSurface1 ; R1 - F
N055.37.30.041 E012.37.48.659 N055.37.30.027 E012.37.48.432 COLOR_HardSurface1 ; R1 - F
N055.37.30.027 E012.37.48.432 N055.37.30.054 E012.37.48.189 COLOR_HardSurface1 ; R1 - F
N055.37.30.054 E012.37.48.189 N055.37.30.109 E012.37.47.996 COLOR_HardSurface1 ; R1 - F
N055.37.30.109 E012.37.47.996 N055.37.30.192 E012.37.47.794 COLOR_HardSurface1 ; R1 - F
N055.37.30.192 E012.37.47.794 N055.37.30.274 E012.37.47.639 COLOR_HardSurface1 ; R1 - F
N055.37.30.274 E012.37.47.639 N055.37.30.398 E012.37.47.509 COLOR_HardSurface1 ; R1 - F
N055.37.30.398 E012.37.47.509 N055.37.30.563 E012.37.47.403 COLOR_HardSurface1 ; R1 - F
;
;
N055.37.30.865 E012.37.51.361 N055.37.30.714 E012.37.51.347 COLOR_HardSurface1 ; R1 - R
N055.37.30.714 E012.37.51.347 N055.37.30.590 E012.37.51.289 COLOR_HardSurface1 ; R1 - R
N055.37.30.590 E012.37.51.289 N055.37.30.480 E012.37.51.196 COLOR_HardSurface1 ; R1 - R
N055.37.30.480 E012.37.51.196 N055.37.30.357 E012.37.50.997 COLOR_HardSurface1 ; R1 - R
N055.37.30.357 E012.37.50.997 N055.37.30.260 E012.37.50.774 COLOR_HardSurface1 ; R1 - R
N055.37.30.260 E012.37.50.774 N055.37.30.205 E012.37.50.516 COLOR_HardSurface1 ; R1 - R
N055.37.30.205 E012.37.50.516 N055.37.30.178 E012.37.50.245 COLOR_HardSurface1 ; R1 - R
N055.37.30.178 E012.37.50.245 N055.37.30.192 E012.37.50.520 COLOR_HardSurface1 ; R1 - R
N055.37.30.192 E012.37.50.520 N055.37.30.192 E012.37.50.795 COLOR_HardSurface1 ; R1 - R
N055.37.30.192 E012.37.50.795 N055.37.30.151 E012.37.51.014 COLOR_HardSurface1 ; R1 - R
N055.37.30.151 E012.37.51.014 N055.37.30.096 E012.37.51.213 COLOR_HardSurface1 ; R1 - R
N055.37.30.096 E012.37.51.213 N055.37.30.013 E012.37.51.395 COLOR_HardSurface1 ; R1 - R
N055.37.30.013 E012.37.51.395 N055.37.29.917 E012.37.51.533 COLOR_HardSurface1 ; R1 - R
N055.37.29.917 E012.37.51.533 N055.37.29.780 E012.37.51.656 COLOR_HardSurface1 ; R1 - R
;
;
N055.37.30.178 E012.37.50.245 N055.37.30.041 E012.37.48.663 COLOR_HardSurface1 ; R1
;
;
N055.37.28.036 E012.37.52.154 N055.37.27.816 E012.37.52.137 COLOR_HardSurface1 ; R2 - R
N055.37.27.816 E012.37.52.137 N055.37.27.651 E012.37.52.034 COLOR_HardSurface1 ; R2 - R
N055.37.27.651 E012.37.52.034 N055.37.27.528 E012.37.51.893 COLOR_HardSurface1 ; R2 - R
N055.37.27.528 E012.37.51.893 N055.37.27.431 E012.37.51.691 COLOR_HardSurface1 ; R2 - R
N055.37.27.431 E012.37.51.691 N055.37.27.363 E012.37.51.419 COLOR_HardSurface1 ; R2 - R
N055.37.27.363 E012.37.51.419 N055.37.27.308 E012.37.51.038 COLOR_HardSurface1 ; R2 - R
N055.37.27.308 E012.37.51.038 N055.37.27.322 E012.37.51.419 COLOR_HardSurface1 ; R2 - R
N055.37.27.322 E012.37.51.419 N055.37.27.294 E012.37.51.718 COLOR_HardSurface1 ; R2 - R
N055.37.27.294 E012.37.51.718 N055.37.27.198 E012.37.52.055 COLOR_HardSurface1 ; R2 - R
N055.37.27.198 E012.37.52.055 N055.37.27.088 E012.37.52.274 COLOR_HardSurface1 ; R2 - R
N055.37.27.088 E012.37.52.274 N055.37.26.965 E012.37.52.401 COLOR_HardSurface1 ; R2 - R
N055.37.26.965 E012.37.52.401 N055.37.26.882 E012.37.52.453 COLOR_HardSurface1 ; R2 - R
;
;
N055.37.26.456 E012.37.48.529 N055.37.26.621 E012.37.48.529 COLOR_HardSurface1 ; R2 - F
N055.37.26.621 E012.37.48.529 N055.37.26.745 E012.37.48.580 COLOR_HardSurface1 ; R2 - F
N055.37.26.745 E012.37.48.580 N055.37.26.855 E012.37.48.669 COLOR_HardSurface1 ; R2 - F
N055.37.26.855 E012.37.48.669 N055.37.26.937 E012.37.48.783 COLOR_HardSurface1 ; R2 - F
N055.37.26.937 E012.37.48.783 N055.37.27.019 E012.37.48.927 COLOR_HardSurface1 ; R2 - F
N055.37.27.019 E012.37.48.927 N055.37.27.074 E012.37.49.040 COLOR_HardSurface1 ; R2 - F
N055.37.27.074 E012.37.49.040 N055.37.27.116 E012.37.49.171 COLOR_HardSurface1 ; R2 - F
N055.37.27.116 E012.37.49.171 N055.37.27.143 E012.37.49.308 COLOR_HardSurface1 ; R2 - F
N055.37.27.143 E012.37.49.308 N055.37.27.171 E012.37.49.589 COLOR_HardSurface1 ; R2 - F
N055.37.27.171 E012.37.49.589 N055.37.27.157 E012.37.49.308 COLOR_HardSurface1 ; R2 - F
N055.37.27.157 E012.37.49.308 N055.37.27.157 E012.37.49.147 COLOR_HardSurface1 ; R2 - F
N055.37.27.157 E012.37.49.147 N055.37.27.184 E012.37.48.989 COLOR_HardSurface1 ; R2 - F
N055.37.27.184 E012.37.48.989 N055.37.27.212 E012.37.48.858 COLOR_HardSurface1 ; R2 - F
N055.37.27.212 E012.37.48.858 N055.37.27.253 E012.37.48.728 COLOR_HardSurface1 ; R2 - F
N055.37.27.253 E012.37.48.728 N055.37.27.335 E012.37.48.532 COLOR_HardSurface1 ; R2 - F
N055.37.27.335 E012.37.48.532 N055.37.27.431 E012.37.48.384 COLOR_HardSurface1 ; R2 - F
N055.37.27.431 E012.37.48.384 N055.37.27.555 E012.37.48.261 COLOR_HardSurface1 ; R2 - F
N055.37.27.555 E012.37.48.261 N055.37.27.679 E012.37.48.189 COLOR_HardSurface1 ; R2 - F
;
;
N055.37.27.171 E012.37.49.589 N055.37.27.308 E012.37.51.038 COLOR_HardSurface1 ; R2
;
;
N055.36.56.807 E012.38.23.929 N055.36.58.537 E012.38.26.593 COLOR_HardSurface1 ; A1
N055.36.58.537 E012.38.26.593 N055.36.58.798 E012.38.26.871 COLOR_HardSurface1 ; A1
N055.36.58.798 E012.38.26.871 N055.36.59.155 E012.38.27.104 COLOR_HardSurface1 ; A1
N055.36.59.155 E012.38.27.104 N055.36.59.430 E012.38.27.207 COLOR_HardSurface1 ; A1
N055.36.59.430 E012.38.27.207 N055.36.59.760 E012.38.27.235 COLOR_HardSurface1 ; A1
N055.36.59.760 E012.38.27.235 N055.37.06.832 E012.38.26.404 COLOR_HardSurface1 ; A1
N055.37.06.832 E012.38.26.404 N055.37.07.697 E012.38.26.277 COLOR_HardSurface1 ; A1
;
;
N055.36.53.717 E012.38.19.153 N055.36.55.434 E012.38.21.790 COLOR_HardSurface1 ; A2
N055.36.55.434 E012.38.21.790 N055.36.55.681 E012.38.22.058 COLOR_HardSurface1 ; A2
N055.36.55.681 E012.38.22.058 N055.36.55.914 E012.38.22.229 COLOR_HardSurface1 ; A2
N055.36.55.914 E012.38.22.229 N055.36.56.134 E012.38.22.349 COLOR_HardSurface1 ; A2
N055.36.56.134 E012.38.22.349 N055.36.56.423 E012.38.22.435 COLOR_HardSurface1 ; A2
N055.36.56.423 E012.38.22.435 N055.36.56.725 E012.38.22.435 COLOR_HardSurface1 ; A2
N055.36.56.725 E012.38.22.435 N055.37.03.440 E012.38.21.646 COLOR_HardSurface1 ; A2
N055.37.03.440 E012.38.21.646 N055.37.03.674 E012.38.21.635 COLOR_HardSurface1 ; A2
N055.37.03.674 E012.38.21.635 N055.37.03.838 E012.38.21.673 COLOR_HardSurface1 ; A2
N055.37.03.838 E012.38.21.673 N055.37.04.017 E012.38.21.755 COLOR_HardSurface1 ; A2
N055.37.04.017 E012.38.21.755 N055.37.04.154 E012.38.21.855 COLOR_HardSurface1 ; A2
N055.37.04.154 E012.38.21.855 N055.37.04.291 E012.38.21.982 COLOR_HardSurface1 ; A2
N055.37.04.291 E012.38.21.982 N055.37.04.456 E012.38.22.167 COLOR_HardSurface1 ; A2
;
;
N055.36.50.723 E012.38.14.511 N055.36.52.344 E012.38.17.021 COLOR_HardSurface1 ; A3
N055.36.52.344 E012.38.17.021 N055.36.52.550 E012.38.17.241 COLOR_HardSurface1 ; A3
N055.36.52.550 E012.38.17.241 N055.36.52.893 E012.38.17.488 COLOR_HardSurface1 ; A3
N055.36.52.893 E012.38.17.488 N055.36.53.195 E012.38.17.611 COLOR_HardSurface1 ; A3
N055.36.53.195 E012.38.17.611 N055.36.53.429 E012.38.17.646 COLOR_HardSurface1 ; A3
N055.36.53.429 E012.38.17.646 N055.36.53.662 E012.38.17.636 COLOR_HardSurface1 ; A3
N055.36.53.662 E012.38.17.636 N055.37.00.213 E012.38.16.866 COLOR_HardSurface1 ; A3
N055.37.00.213 E012.38.16.866 N055.37.00.515 E012.38.16.849 COLOR_HardSurface1 ; A3
N055.37.00.515 E012.38.16.849 N055.37.00.721 E012.38.16.887 COLOR_HardSurface1 ; A3
N055.37.00.721 E012.38.16.887 N055.37.00.886 E012.38.16.952 COLOR_HardSurface1 ; A3
N055.37.00.886 E012.38.16.952 N055.37.01.105 E012.38.17.103 COLOR_HardSurface1 ; A3
N055.37.01.105 E012.38.17.103 N055.37.01.243 E012.38.17.234 COLOR_HardSurface1 ; A3
N055.37.01.243 E012.38.17.234 N055.37.01.408 E012.38.17.464 COLOR_HardSurface1 ; A3
;
;
N055.36.47.633 E012.38.09.743 N055.36.49.226 E012.38.12.180 COLOR_HardSurface1 ; A4
N055.36.49.226 E012.38.12.180 N055.36.49.652 E012.38.12.613 COLOR_HardSurface1 ; A4
N055.36.49.652 E012.38.12.613 N055.36.50.092 E012.38.12.819 COLOR_HardSurface1 ; A4
N055.36.50.092 E012.38.12.819 N055.36.50.600 E012.38.12.846 COLOR_HardSurface1 ; A4
N055.36.50.600 E012.38.12.846 N055.36.57.274 E012.38.12.060 COLOR_HardSurface1 ; A4
N055.36.57.274 E012.38.12.060 N055.36.57.507 E012.38.12.050 COLOR_HardSurface1 ; A4
N055.36.57.507 E012.38.12.050 N055.36.57.686 E012.38.12.101 COLOR_HardSurface1 ; A4
N055.36.57.686 E012.38.12.101 N055.36.57.892 E012.38.12.201 COLOR_HardSurface1 ; A4
N055.36.57.892 E012.38.12.201 N055.36.58.098 E012.38.12.379 COLOR_HardSurface1 ; A4
N055.36.58.098 E012.38.12.379 N055.36.58.290 E012.38.12.626 COLOR_HardSurface1 ; A4
;
;
N055.36.39.243 E012.37.56.696 N055.36.40.698 E012.37.58.966 COLOR_HardSurface1 ; A5
N055.36.40.698 E012.37.58.966 N055.36.40.877 E012.37.59.203 COLOR_HardSurface1 ; A5
N055.36.40.877 E012.37.59.203 N055.36.41.069 E012.37.59.409 COLOR_HardSurface1 ; A5
N055.36.41.069 E012.37.59.409 N055.36.41.275 E012.37.59.577 COLOR_HardSurface1 ; A5
N055.36.41.275 E012.37.59.577 N055.36.41.481 E012.37.59.711 COLOR_HardSurface1 ; A5
N055.36.41.481 E012.37.59.711 N055.36.41.701 E012.37.59.790 COLOR_HardSurface1 ; A5
