;>>>>> Roenne Airport  <<<<<
N055.04.15.789 E014.44.47.121 N055.04.14.924 E014.44.50.119 COLOR_GrasSurface ; GA parking
N055.04.14.924 E014.44.50.119 N055.04.13.976 E014.44.49.267 COLOR_GrasSurface ; GA parking
;
;
N055.04.01.720 E014.44.42.075 N055.04.01.424 E014.44.43.250 COLOR_TaxiwayBorder ; TWY A B
N055.03.58.924 E014.44.53.164 N055.03.59.447 E014.44.53.792 COLOR_TaxiwayBorder ; TWY A B
N055.03.59.447 E014.44.53.792 N055.04.02.921 E014.44.53.912 COLOR_TaxiwayBorder ; TWY A B
N055.04.02.921 E014.44.53.912 N055.04.03.457 E014.44.53.816 COLOR_TaxiwayBorder ; TWY A B
N055.04.03.457 E014.44.53.816 N055.04.03.965 E014.44.53.494 COLOR_TaxiwayBorder ; TWY A B
N055.04.03.965 E014.44.53.494 N055.04.04.528 E014.44.52.687 COLOR_TaxiwayBorder ; TWY A B
N055.04.04.528 E014.44.52.687 N055.04.06.066 E014.44.49.415 COLOR_TaxiwayBorder ; TWY A B
N055.04.06.066 E014.44.49.415 N055.04.05.997 E014.44.48.241 COLOR_TaxiwayBorder ; TWY A B
N055.04.05.997 E014.44.48.241 N055.04.04.995 E014.44.46.788 COLOR_TaxiwayBorder ; TWY A B
N055.04.04.995 E014.44.46.788 N055.04.04.377 E014.44.46.881 COLOR_TaxiwayBorder ; TWY A B
N055.04.04.377 E014.44.46.881 N055.04.03.965 E014.44.46.280 COLOR_TaxiwayBorder ; TWY A B
N055.04.03.965 E014.44.46.280 N055.04.03.923 E014.44.45.748 COLOR_TaxiwayBorder ; TWY A B
N055.04.03.923 E014.44.45.748 N055.04.03.923 E014.44.45.542 COLOR_TaxiwayBorder ; TWY A B
N055.04.03.923 E014.44.45.542 N055.04.03.951 E014.44.44.450 COLOR_TaxiwayBorder ; TWY A B
N055.04.03.951 E014.44.44.450 N055.04.03.539 E014.44.43.077 COLOR_TaxiwayBorder ; TWY A B
