N057.05.38.090 E009.50.33.912 N057.05.34.313 E009.50.39.539 COLOR_TaxiwayBorder ; Island DE
N057.05.34.313 E009.50.39.539 N057.05.34.094 E009.50.39.769 COLOR_TaxiwayBorder ; Island DE
N057.05.34.094 E009.50.39.769 N057.05.33.847 E009.50.39.810 COLOR_TaxiwayBorder ; Island DE
N057.05.33.847 E009.50.39.810 N057.05.33.572 E009.50.39.686 COLOR_TaxiwayBorder ; Island DE
N057.05.33.572 E009.50.39.686 N057.05.33.380 E009.50.39.384 COLOR_TaxiwayBorder ; Island DE
N057.05.33.380 E009.50.39.384 N057.05.33.256 E009.50.39.024 COLOR_TaxiwayBorder ; Island DE
N057.05.33.256 E009.50.39.024 N057.05.33.207 E009.50.38.820 COLOR_TaxiwayBorder ; Island DE
N057.05.33.207 E009.50.38.820 N057.05.31.410 E009.50.11.022 COLOR_TaxiwayBorder ; RWY 26L / 08R
N057.05.31.410 E009.50.11.022 N057.05.31.443 E009.50.10.442 COLOR_TaxiwayBorder ; Island DE
N057.05.31.443 E009.50.10.442 N057.05.31.512 E009.50.09.865 COLOR_TaxiwayBorder ; Island DE
N057.05.31.512 E009.50.09.865 N057.05.31.636 E009.50.09.313 COLOR_TaxiwayBorder ; Island DE
N057.05.31.636 E009.50.09.313 N057.05.31.828 E009.50.08.760 COLOR_TaxiwayBorder ; Island DE
N057.05.31.828 E009.50.08.760 N057.05.32.638 E009.50.07.160 COLOR_TaxiwayBorder ; Island DE
N057.05.32.638 E009.50.07.160 N057.05.34.190 E009.50.04.087 COLOR_TaxiwayBorder ; Island DE
N057.05.34.190 E009.50.04.087 N057.05.34.396 E009.50.03.761 COLOR_TaxiwayBorder ; Island DE
N057.05.34.396 E009.50.03.761 N057.05.34.602 E009.50.03.487 COLOR_TaxiwayBorder ; Island DE
N057.05.34.602 E009.50.03.487 N057.05.34.931 E009.50.03.123 COLOR_TaxiwayBorder ; Island DE
