; >>> EKEB - Esbjerg <<<
N055.31.25.830 E008.33.21.853 N055.31.25.940 E008.33.21.753 COLOR_TaxiwayBorder ; outer
N055.31.25.940 E008.33.21.753 N055.31.26.022 E008.33.21.599 COLOR_TaxiwayBorder ; outer
N055.31.26.022 E008.33.21.599 N055.31.26.036 E008.33.21.382 COLOR_TaxiwayBorder ; outer
N055.31.26.036 E008.33.21.382 N055.31.25.858 E008.33.19.439 COLOR_TaxiwayBorder ; outer
N055.31.25.858 E008.33.19.439 N055.31.25.679 E008.33.18.934 COLOR_TaxiwayBorder ; outer
N055.31.25.679 E008.33.18.934 N055.31.25.350 E008.33.18.646 COLOR_TaxiwayBorder ; outer
N055.31.25.350 E008.33.18.646 N055.31.24.745 E008.33.18.574 COLOR_TaxiwayBorder ; outer
N055.31.24.745 E008.33.18.574 N055.31.24.677 E008.33.19.511 COLOR_TaxiwayBorder ; outer
N055.31.24.677 E008.33.19.511 N055.31.23.551 E008.33.19.223 COLOR_TaxiwayBorder ; outer
N055.31.23.551 E008.33.19.223 N055.31.23.647 E008.33.18.131 COLOR_TaxiwayBorder ; outer
N055.31.23.647 E008.33.18.131 N055.31.22.164 E008.33.17.733 COLOR_TaxiwayBorder ; outer
N055.31.22.164 E008.33.17.733 N055.31.21.875 E008.33.17.918 COLOR_TaxiwayBorder ; outer
N055.31.21.875 E008.33.17.918 N055.31.21.779 E008.33.18.811 COLOR_TaxiwayBorder ; outer
N055.31.21.779 E008.33.18.811 N055.31.20.310 E008.33.18.395 COLOR_TaxiwayBorder ; outer
N055.31.20.310 E008.33.18.395 N055.31.20.570 E008.33.17.135 COLOR_TaxiwayBorder ; outer
N055.31.20.570 E008.33.17.135 N055.31.20.419 E008.33.17.029 COLOR_TaxiwayBorder ; outer
N055.31.20.419 E008.33.17.029 N055.31.20.502 E008.33.15.948 COLOR_TaxiwayBorder ; outer
N055.31.20.502 E008.33.15.948 N055.31.20.021 E008.33.11.519 COLOR_TaxiwayBorder ; outer
N055.31.20.021 E008.33.11.519 N055.31.20.021 E008.33.11.158 COLOR_TaxiwayBorder ; outer
N055.31.20.021 E008.33.11.158 N055.31.20.419 E008.33.10.729 COLOR_TaxiwayBorder ; outer
N055.31.20.419 E008.33.10.729 N055.31.20.392 E008.33.10.369 COLOR_TaxiwayBorder ; outer
N055.31.20.392 E008.33.10.369 N055.31.20.680 E008.33.09.275 COLOR_TaxiwayBorder ; outer
N055.31.20.680 E008.33.09.275 N055.31.20.557 E008.33.07.972 COLOR_TaxiwayBorder ; outer
N055.31.20.557 E008.33.07.972 N055.31.20.694 E008.33.08.370 COLOR_TaxiwayBorder ; outer
N055.31.20.694 E008.33.08.370 N055.31.20.859 E008.33.08.532 COLOR_TaxiwayBorder ; outer
N055.31.20.859 E008.33.08.532 N055.31.23.770 E008.33.07.632 COLOR_TaxiwayBorder ; outer
N055.31.23.770 E008.33.07.632 N055.31.23.921 E008.33.07.502 COLOR_TaxiwayBorder ; outer
N055.31.23.921 E008.33.07.502 N055.31.24.017 E008.33.07.306 COLOR_TaxiwayBorder ; outer
N055.31.24.017 E008.33.07.306 N055.31.24.086 E008.33.07.097 COLOR_TaxiwayBorder ; outer
N055.31.24.086 E008.33.07.097 N055.31.24.127 E008.33.06.877 COLOR_TaxiwayBorder ; outer
N055.31.24.127 E008.33.06.877 N055.31.24.086 E008.33.06.633 COLOR_TaxiwayBorder ; outer
N055.31.24.086 E008.33.06.633 N055.31.23.633 E008.33.06.750 COLOR_TaxiwayBorder ; outer
N055.31.23.633 E008.33.06.750 N055.31.23.262 E008.33.02.788 COLOR_TaxiwayBorder ; outer
N055.31.23.262 E008.33.02.788 N055.31.23.551 E008.33.02.699 COLOR_TaxiwayBorder ; outer
N055.31.23.551 E008.33.02.699 N055.31.23.949 E008.33.01.655 COLOR_TaxiwayBorder ; outer
N055.31.23.949 E008.33.01.655 N055.31.23.578 E008.32.58.088 COLOR_TaxiwayBorder ; outer
N055.31.23.578 E008.32.58.088 N055.31.19.925 E008.32.59.279 COLOR_TaxiwayBorder ; outer
N055.31.19.925 E008.32.59.279 N055.31.19.170 E008.32.52.224 COLOR_TaxiwayBorder ; outer
N055.31.19.170 E008.32.52.224 N055.31.20.570 E008.32.51.791 COLOR_TaxiwayBorder ; outer
N055.31.20.570 E008.32.51.791 N055.31.22.548 E008.32.54.133 COLOR_TaxiwayBorder ; outer
N055.31.22.548 E008.32.54.133 N055.31.23.125 E008.32.53.917 COLOR_TaxiwayBorder ; outer
N055.31.23.125 E008.32.53.917 N055.31.22.479 E008.32.47.833 COLOR_TaxiwayBorder ; outer
N055.31.22.479 E008.32.47.833 N055.31.22.328 E008.32.47.579 COLOR_TaxiwayBorder ; outer
N055.31.22.328 E008.32.47.579 N055.31.19.060 E008.32.48.660 COLOR_TaxiwayBorder ; outer
N055.31.19.060 E008.32.48.660 N055.31.18.799 E008.32.46.247 COLOR_TaxiwayBorder ; outer
N055.31.18.799 E008.32.46.247 N055.31.20.021 E008.32.45.852 COLOR_TaxiwayBorder ; outer
N055.31.20.021 E008.32.45.852 N055.31.20.213 E008.32.47.795 COLOR_TaxiwayBorder ; outer
N055.31.20.213 E008.32.47.795 N055.31.22.685 E008.32.46.968 COLOR_TaxiwayBorder ; outer
N055.31.22.685 E008.32.46.968 N055.31.23.441 E008.32.53.844 COLOR_TaxiwayBorder ; outer
N055.31.23.441 E008.32.53.844 N055.31.29.318 E008.32.51.936 COLOR_TaxiwayBorder ; outer
N055.31.29.318 E008.32.51.936 N055.31.30.074 E008.32.51.359 COLOR_TaxiwayBorder ; outer
N055.31.30.074 E008.32.51.359 N055.31.30.293 E008.32.50.820 COLOR_TaxiwayBorder ; outer
N055.31.30.293 E008.32.50.820 N055.31.30.333 E008.32.50.145 COLOR_TaxiwayBorder ; outer west
;
;
N055.31.21.958 E008.33.16.940 N055.31.22.122 E008.33.17.311 COLOR_TaxiwayBorder ; Island COLOR_ApronSurface
N055.31.22.122 E008.33.17.311 N055.31.22.589 E008.33.17.510 COLOR_TaxiwayBorder ; Island COLOR_ApronSurface
N055.31.22.589 E008.33.17.510 N055.31.23.702 E008.33.17.781 COLOR_TaxiwayBorder ; Island COLOR_ApronSurface
N055.31.23.702 E008.33.17.781 N055.31.23.729 E008.33.17.352 COLOR_TaxiwayBorder ; Island COLOR_ApronSurface
N055.31.23.729 E008.33.17.352 N055.31.24.841 E008.33.17.640 COLOR_TaxiwayBorder ; Island COLOR_ApronSurface
N055.31.24.841 E008.33.17.640 N055.31.25.089 E008.33.17.650 COLOR_TaxiwayBorder ; Island COLOR_ApronSurface
N055.31.25.089 E008.33.17.650 N055.31.25.308 E008.33.17.554 COLOR_TaxiwayBorder ; Island COLOR_ApronSurface
N055.31.25.308 E008.33.17.554 N055.31.25.459 E008.33.17.311 COLOR_TaxiwayBorder ; Island COLOR_ApronSurface
N055.31.25.459 E008.33.17.311 N055.31.25.528 E008.33.16.878 COLOR_TaxiwayBorder ; Island COLOR_ApronSurface
N055.31.25.528 E008.33.16.878 N055.31.25.542 E008.33.16.308 COLOR_TaxiwayBorder ; Island COLOR_ApronSurface
N055.31.25.542 E008.33.16.308 N055.31.25.253 E008.33.13.788 COLOR_TaxiwayBorder ; Island COLOR_ApronSurface
N055.31.25.253 E008.33.13.788 N055.31.24.924 E008.33.13.716 COLOR_TaxiwayBorder ; Island COLOR_ApronSurface
N055.31.24.924 E008.33.13.716 N055.31.24.814 E008.33.13.967 COLOR_TaxiwayBorder ; Island COLOR_ApronSurface
N055.31.24.814 E008.33.13.967 N055.31.24.690 E008.33.15.525 COLOR_TaxiwayBorder ; Island COLOR_ApronSurface
N055.31.24.690 E008.33.15.525 N055.31.24.814 E008.33.15.536 COLOR_TaxiwayBorder ; Island COLOR_ApronSurface
N055.31.24.814 E008.33.15.536 N055.31.24.896 E008.33.15.652 COLOR_TaxiwayBorder ; Island COLOR_ApronSurface
N055.31.24.896 E008.33.15.652 N055.31.24.965 E008.33.15.855 COLOR_TaxiwayBorder ; Island COLOR_ApronSurface
N055.31.24.965 E008.33.15.855 N055.31.24.938 E008.33.16.136 COLOR_TaxiwayBorder ; Island COLOR_ApronSurface
