; >>> EKAH - aarhus <<<
N056.18.08.896 E010.37.46.204 N056.18.09.239 E010.37.45.913 COLOR_TaxiwayBorder ; TWY E X
N056.18.09.239 E010.37.45.913 N056.18.11.175 E010.37.45.864 COLOR_TaxiwayBorder ; TWY E X
N056.18.11.175 E010.37.45.864 N056.18.12.906 E010.37.46.458 COLOR_TaxiwayBorder ; TWY E X
N056.18.12.906 E010.37.46.458 N056.18.14.595 E010.37.47.584 COLOR_TaxiwayBorder ; TWY E X
N056.18.14.595 E010.37.47.584 N056.18.14.636 E010.37.48.268 COLOR_TaxiwayBorder ; TWY E X
N056.18.14.636 E010.37.48.268 N056.18.10.859 E010.38.25.728 COLOR_TaxiwayBorder ; RWY 10L/28R
N056.18.10.859 E010.38.25.728 N056.18.10.379 E010.38.27.688 COLOR_TaxiwayBorder ; TWY E X
N056.18.10.379 E010.38.27.688 N056.18.10.324 E010.38.27.822 COLOR_TaxiwayBorder ; TWY E X
N056.18.10.324 E010.38.27.822 N056.18.10.159 E010.38.28.018 COLOR_TaxiwayBorder ; TWY E X
N056.18.10.159 E010.38.28.018 N056.18.09.871 E010.38.28.251 COLOR_TaxiwayBorder ; TWY E X
N056.18.09.871 E010.38.28.251 N056.18.09.747 E010.38.28.292 COLOR_TaxiwayBorder ; TWY E X
N056.18.09.747 E010.38.28.292 N056.18.09.610 E010.38.28.244 COLOR_TaxiwayBorder ; TWY E X
N056.18.09.610 E010.38.28.244 N056.18.08.305 E010.38.27.523 COLOR_TaxiwayBorder ; TWY E X
N056.18.08.305 E010.38.27.523 N056.18.06.712 E010.38.26.133 COLOR_TaxiwayBorder ; TWY E X
N056.18.06.712 E010.38.26.133 N056.18.06.410 E010.38.25.841 COLOR_TaxiwayBorder ; TWY E X
N056.18.06.410 E010.38.25.841 N056.18.05.888 E010.38.25.250 COLOR_TaxiwayBorder ; TWY E X
N056.18.05.888 E010.38.25.250 N056.18.05.325 E010.38.24.121 COLOR_TaxiwayBorder ; TWY E X
N056.18.05.325 E010.38.24.121 N056.18.05.175 E010.38.22.970 COLOR_TaxiwayBorder ; TWY E X
N056.18.05.175 E010.38.22.970 N056.18.08.896 E010.37.46.204 COLOR_TaxiwayBorder
;
;
N056.18.16.951 E010.36.26.581 N056.18.17.067 E010.36.26.608 COLOR_TaxiwayBorder ; TWY Y E
N056.18.17.067 E010.36.26.608 N056.18.17.904 E010.36.25.554 COLOR_TaxiwayBorder ; TWY Y E
N056.18.17.904 E010.36.25.554 N056.18.22.052 E010.36.26.886 COLOR_TaxiwayBorder ; TWY Y E
N056.18.22.052 E010.36.26.886 N056.18.22.409 E010.36.27.147 COLOR_TaxiwayBorder ; TWY Y E
N056.18.22.409 E010.36.27.147 N056.18.22.656 E010.36.27.745 COLOR_TaxiwayBorder ; TWY Y E
N056.18.22.656 E010.36.27.745 N056.18.22.711 E010.36.28.274 COLOR_TaxiwayBorder ; TWY Y E
N056.18.22.711 E010.36.28.274 N056.18.15.048 E010.37.44.299 COLOR_TaxiwayBorder ; RWY 10L/28R
N056.18.15.048 E010.37.44.299 N056.18.14.938 E010.37.44.673 COLOR_TaxiwayBorder ; TWY Y E
N056.18.14.938 E010.37.44.673 N056.18.14.815 E010.37.44.917 COLOR_TaxiwayBorder ; TWY Y E
N056.18.14.815 E010.37.44.917 N056.18.14.691 E010.37.45.051 COLOR_TaxiwayBorder ; TWY Y E
N056.18.14.691 E010.37.45.051 N056.18.13.029 E010.37.45.123 COLOR_TaxiwayBorder ; TWY Y E
N056.18.13.029 E010.37.45.123 N056.18.11.313 E010.37.44.543 COLOR_TaxiwayBorder ; TWY Y E
N056.18.11.313 E010.37.44.543 N056.18.09.500 E010.37.43.180 COLOR_TaxiwayBorder ; TWY Y E
N056.18.09.500 E010.37.43.180 N056.18.09.244 E010.37.42.750 COLOR_TaxiwayBorder ; TWY Y E
