; >>> EKBI - Billund <<<
;
; RWY External lines
N055.44.12.209 E009.09.02.491 N055.44.12.058 E009.08.57.107 COLOR_TaxiwayBorder ; South Term
N055.44.12.058 E009.08.57.107 N055.44.11.866 E009.08.55.061 COLOR_TaxiwayBorder ; South Term
N055.44.11.866 E009.08.55.061 N055.44.11.824 E009.08.54.920 COLOR_TaxiwayBorder ; South Term
N055.44.11.824 E009.08.54.920 N055.44.11.742 E009.08.54.769 COLOR_TaxiwayBorder ; South Term
N055.44.11.742 E009.08.54.769 N055.44.11.618 E009.08.54.687 COLOR_TaxiwayBorder ; South Term
N055.44.11.618 E009.08.54.687 N055.44.10.959 E009.08.54.536 COLOR_TaxiwayBorder ; South Term
N055.44.10.959 E009.08.54.536 N055.44.10.767 E009.08.54.927 COLOR_TaxiwayBorder ; South Term
N055.44.10.767 E009.08.54.927 N055.44.10.822 E009.08.56.489 COLOR_TaxiwayBorder ; South Term
N055.44.10.822 E009.08.56.489 N055.44.09.545 E009.08.56.585 COLOR_TaxiwayBorder ; South Term
N055.44.09.545 E009.08.56.585 N055.44.09.559 E009.08.55.051 COLOR_TaxiwayBorder ; South Term
N055.44.09.559 E009.08.55.051 N055.44.09.325 E009.08.54.622 COLOR_TaxiwayBorder ; South Term
N055.44.09.325 E009.08.54.622 N055.44.09.256 E009.08.54.632 COLOR_TaxiwayBorder ; South Term
N055.44.09.256 E009.08.54.632 N055.44.09.394 E009.08.59.380 COLOR_TaxiwayBorder ; South Term
N055.44.09.394 E009.08.59.380 N055.44.07.938 E009.08.59.480 COLOR_TaxiwayBorder ; South Term
N055.44.07.938 E009.08.59.480 N055.44.07.911 E009.08.58.360 COLOR_TaxiwayBorder ; South Term
N055.44.07.911 E009.08.58.360 N055.44.07.622 E009.08.59.233 COLOR_TaxiwayBorder ; South Term
N055.44.07.622 E009.08.59.233 N055.44.07.155 E009.08.59.281 COLOR_TaxiwayBorder ; South Term
N055.44.07.155 E009.08.59.281 N055.44.07.155 E009.08.59.572 COLOR_TaxiwayBorder ; South Term
N055.44.07.155 E009.08.59.572 N055.44.06.894 E009.08.59.610 COLOR_TaxiwayBorder ; South Term
